id,people,seconds
1,0,0.2
2,74,4.5
4,67,9.3
5,14,3.4
6,12,0.7
7,9,0.7
8,27,1.4
9,17,1.9
10,3,0.9
11,3,0.8
12,4,1.4
13,1,0.8
14,12,1.4
15,2,0.8
16,92504,23.2
17,623,51.9
19,18,0.8
20,50,0.0
21,34,0.0
33,28,0.9
35,17,0.8
36,34,1.4
37,291,5.1
39,0,0.1
40,213,6.4
42,93,1.4
46,112,0.8
50,35,2.6
51,213,7.9
55,19,3.7
57,27,1.0
58,17,1.0
59,28,1.2
60,17,1.0
61,15,1.3
62,16,1.1
64,5,0.8
66,57,1.3
67,77,3.3
70,1,0.0
74,38,1.4
77,12,0.7
78,39,0.9
82,283,10.1
86,40,0.7
87,103,3.9
88,36,0.7
90,41,0.7
91,3,0.0
92,33,1.2
93,20,0.0
98,2,0.7
99,4,0.7
100,2,0.7
102,2,0.7
104,2,0.7
105,2,0.7
106,0,0.7
107,2,0.7
108,6,0.7
109,6,0.7
110,7,0.7
111,2,0.7
112,6,0.7
113,2,0.7
116,499,32.4
117,142,6.0
118,32,1.9
119,50,0.7
122,4,1.3
124,18,1.3
125,638,7.0
127,20,0.8
129,24,2.3
132,40,2.0
133,22,4.1
134,55,2.9
136,6,0.7
138,2,0.7
139,136,5.1
140,4,0.7
141,112,6.1
142,111,3.7
143,10,1.4
144,19,1.5
147,54,1.0
154,31,1.3
156,41,0.7
157,7,0.7
164,23,2.1
167,5,0.0
172,29,0.7
173,30,3.0
176,251,6.7
177,75,7.3
178,38,3.4
179,9,2.0
180,15,0.7
181,5,0.7
182,4,1.3
183,16,0.7
185,10,0.7
186,9,0.7
188,45,1.4
189,34,1.6
190,43,2.7
195,8,0.7
196,8,0.7
197,2,0.7
198,25,1.4
199,5,0.6
200,134,0.6
202,44,1.4
203,148,3.2
204,141,3.8
205,71,2.6
206,508,10.0
207,8,0.7
208,8,0.7
209,4,0.7
210,4,0.7
212,1057,26.0
213,17,0.8
215,3,0.7
216,55,0.8
218,1,0.0
220,30,0.7
222,34,0.8
223,36,1.4
224,53,1.4
226,3,0.5
236,32,21.5
244,145,0.7
251,20,0.9
252,134,1.3
253,54,0.9
254,17,0.9
255,33,0.9
258,2,0.0
259,38,0.7
263,6,1.1
265,88,6.6
270,6,0.7
277,9,0.7
279,21,0.8
280,2,0.8
284,7,0.7
293,8,0.7
294,10,0.7
296,245,4.8
298,1231,14.3
301,0,0.1
302,67,7.4
304,0,0.1
305,60,6.4
306,151,4.6
310,9,0.6
311,0,0.7
312,9,1.2
313,0,0.1
320,2,0.0
324,9,0.8
325,20,0.8
326,42,1.6
327,175,3.1
328,2,0.7
329,48,0.7
330,57799,6.8
336,2,0.7
337,0,0.6
338,19,0.7
339,0,0.7
340,3,0.7
341,0,0.7
342,1,0.7
343,1,0.0
345,1,0.7
346,0,0.7
347,0,0.7
348,0,0.7
349,0,0.7
350,0,0.7
351,0,0.7
352,0,0.7
353,0,0.7
354,0,0.7
355,0,0.7
356,0,0.6
357,1,0.7
358,4,0.7
359,1,0.7
360,144,4.4
361,16,0.8
363,68,1.4
364,61,1.5
365,36,1.1
366,33,1.1
369,0,0.1
370,0,0.7
371,25,0.7
